,Datetime,GHI,Wind Speed
0,2021-01-01 00:30:00,44,1.9
1,2021-01-01 01:30:00,0,1.8
2,2021-01-01 02:30:00,0,2.1
3,2021-01-01 03:30:00,0,2.9000000000000004
4,2021-01-01 04:30:00,0,3.6
5,2021-01-01 05:30:00,0,3.9
6,2021-01-01 06:30:00,0,4.0
7,2021-01-01 07:30:00,0,3.9
8,2021-01-01 08:30:00,0,3.7
9,2021-01-01 09:30:00,0,3.5
10,2021-01-01 10:30:00,0,3.4000000000000004
11,2021-01-01 11:30:00,0,3.4000000000000004
12,2021-01-01 12:30:00,0,3.5
13,2021-01-01 13:30:00,0,3.5
14,2021-01-01 14:30:00,0,3.6
15,2021-01-01 15:30:00,67,4.1000000000000005
16,2021-01-01 16:30:00,244,4.7
17,2021-01-01 17:30:00,409,4.800000000000001
18,2021-01-01 18:30:00,528,4.0
19,2021-01-01 19:30:00,586,3.0
20,2021-01-01 20:30:00,583,2.0
21,2021-01-01 21:30:00,513,1.4
22,2021-01-01 22:30:00,384,1.0
23,2021-01-01 23:30:00,219,0.7000000000000001
24,2021-01-02 00:30:00,46,1.1
25,2021-01-02 01:30:00,0,1.3
26,2021-01-02 02:30:00,0,1.4
27,2021-01-02 03:30:00,0,1.4
28,2021-01-02 04:30:00,0,1.4
29,2021-01-02 05:30:00,0,1.3
30,2021-01-02 06:30:00,0,1.1
31,2021-01-02 07:30:00,0,1.0
32,2021-01-02 08:30:00,0,1.3
33,2021-01-02 09:30:00,0,1.6
34,2021-01-02 10:30:00,0,1.5
35,2021-01-02 11:30:00,0,1.4
36,2021-01-02 12:30:00,0,1.4
37,2021-01-02 13:30:00,0,1.3
38,2021-01-02 14:30:00,0,1.2000000000000002
39,2021-01-02 15:30:00,41,1.3
40,2021-01-02 16:30:00,210,1.5
41,2021-01-02 17:30:00,386,1.5
42,2021-01-02 18:30:00,459,1.2000000000000002
43,2021-01-02 19:30:00,565,1.0
44,2021-01-02 20:30:00,531,1.4
45,2021-01-02 21:30:00,434,1.9
46,2021-01-02 22:30:00,284,1.9
47,2021-01-02 23:30:00,151,1.9
48,2021-01-03 00:30:00,31,1.7000000000000002
49,2021-01-03 01:30:00,0,1.4
50,2021-01-03 02:30:00,0,1.2000000000000002
51,2021-01-03 03:30:00,0,1.0
52,2021-01-03 04:30:00,0,0.8
53,2021-01-03 05:30:00,0,0.7000000000000001
54,2021-01-03 06:30:00,0,0.7000000000000001
55,2021-01-03 07:30:00,0,0.7000000000000001
56,2021-01-03 08:30:00,0,0.7000000000000001
57,2021-01-03 09:30:00,0,0.6000000000000001
58,2021-01-03 10:30:00,0,0.6000000000000001
59,2021-01-03 11:30:00,0,0.7000000000000001
60,2021-01-03 12:30:00,0,0.9
61,2021-01-03 13:30:00,0,1.0
62,2021-01-03 14:30:00,0,1.0
63,2021-01-03 15:30:00,31,1.0
64,2021-01-03 16:30:00,214,1.0
65,2021-01-03 17:30:00,239,0.5
66,2021-01-03 18:30:00,454,0.4
67,2021-01-03 19:30:00,549,1.0
68,2021-01-03 20:30:00,524,1.6
69,2021-01-03 21:30:00,376,1.7000000000000002
70,2021-01-03 22:30:00,223,1.6
71,2021-01-03 23:30:00,181,1.6
72,2021-01-04 00:30:00,34,1.0
73,2021-01-04 01:30:00,0,0.9
74,2021-01-04 02:30:00,0,0.9
75,2021-01-04 03:30:00,0,1.0
76,2021-01-04 04:30:00,0,0.9
77,2021-01-04 05:30:00,0,0.8
78,2021-01-04 06:30:00,0,0.6000000000000001
79,2021-01-04 07:30:00,0,0.4
80,2021-01-04 08:30:00,0,0.4
81,2021-01-04 09:30:00,0,0.5
82,2021-01-04 10:30:00,0,0.6000000000000001
83,2021-01-04 11:30:00,0,0.7000000000000001
84,2021-01-04 12:30:00,0,0.8
85,2021-01-04 13:30:00,0,0.8
86,2021-01-04 14:30:00,0,0.6000000000000001
87,2021-01-04 15:30:00,57,0.5
88,2021-01-04 16:30:00,224,0.6000000000000001
89,2021-01-04 17:30:00,385,1.2000000000000002
90,2021-01-04 18:30:00,506,2.3000000000000003
91,2021-01-04 19:30:00,566,3.0
92,2021-01-04 20:30:00,561,3.4000000000000004
93,2021-01-04 21:30:00,412,3.5
94,2021-01-04 22:30:00,375,3.3000000000000003
95,2021-01-04 23:30:00,214,3.1
96,2021-01-05 00:30:00,49,1.7000000000000002
97,2021-01-05 01:30:00,0,1.2000000000000002
98,2021-01-05 02:30:00,0,1.0
99,2021-01-05 03:30:00,0,1.1
100,2021-01-05 04:30:00,0,1.0
101,2021-01-05 05:30:00,0,1.0
102,2021-01-05 06:30:00,0,1.1
103,2021-01-05 07:30:00,0,1.5
104,2021-01-05 08:30:00,0,1.7000000000000002
105,2021-01-05 09:30:00,0,1.7000000000000002
106,2021-01-05 10:30:00,0,1.8
107,2021-01-05 11:30:00,0,2.0
108,2021-01-05 12:30:00,0,2.1
109,2021-01-05 13:30:00,0,2.3000000000000003
110,2021-01-05 14:30:00,0,2.8000000000000003
111,2021-01-05 15:30:00,62,3.6
112,2021-01-05 16:30:00,238,4.0
113,2021-01-05 17:30:00,340,3.4000000000000004
114,2021-01-05 18:30:00,518,2.4000000000000004
115,2021-01-05 19:30:00,578,1.8
116,2021-01-05 20:30:00,586,2.0
117,2021-01-05 21:30:00,516,2.4000000000000004
118,2021-01-05 22:30:00,393,2.0
119,2021-01-05 23:30:00,227,1.6
120,2021-01-06 00:30:00,55,0.9
121,2021-01-06 01:30:00,0,0.9
122,2021-01-06 02:30:00,0,1.3
123,2021-01-06 03:30:00,0,1.6
124,2021-01-06 04:30:00,0,1.7000000000000002
125,2021-01-06 05:30:00,0,1.7000000000000002
126,2021-01-06 06:30:00,0,1.8
127,2021-01-06 07:30:00,0,1.9
128,2021-01-06 08:30:00,0,2.1
129,2021-01-06 09:30:00,0,2.1
130,2021-01-06 10:30:00,0,1.9
131,2021-01-06 11:30:00,0,1.6
132,2021-01-06 12:30:00,0,1.5
133,2021-01-06 13:30:00,0,1.6
134,2021-01-06 14:30:00,0,1.7000000000000002
135,2021-01-06 15:30:00,45,2.1
136,2021-01-06 16:30:00,210,2.4000000000000004
137,2021-01-06 17:30:00,392,2.0
138,2021-01-06 18:30:00,513,1.6
139,2021-01-06 19:30:00,574,1.7000000000000002
140,2021-01-06 20:30:00,542,2.1
141,2021-01-06 21:30:00,456,2.3000000000000003
142,2021-01-06 22:30:00,379,2.1
143,2021-01-06 23:30:00,214,1.8
144,2021-01-07 00:30:00,41,1.2000000000000002
145,2021-01-07 01:30:00,0,1.0
146,2021-01-07 02:30:00,0,1.0
147,2021-01-07 03:30:00,0,1.2000000000000002
148,2021-01-07 04:30:00,0,1.3
149,2021-01-07 05:30:00,0,1.4
150,2021-01-07 06:30:00,0,1.4
151,2021-01-07 07:30:00,0,1.5
152,2021-01-07 08:30:00,0,1.8
153,2021-01-07 09:30:00,0,2.2
154,2021-01-07 10:30:00,0,2.6
