Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2021,1,1,0,30,13,26,273,44,0,1.4000000000000001,26,273,0,44,45.07,86.22,0.14,988,0.8,15,1.9000000000000001,0.0000,0.0000
2021,1,1,1,30,11.700000000000001,0,0,0,0,2,0,0,0,0,51.29,97.5,0.14,989,0.9,8,1.8,0.0000,0.0000
2021,1,1,2,30,11.200000000000001,0,0,0,0,2.8000000000000003,0,0,0,0,56.08,109.24000000000001,0.14,989,0.9,3,2.1,0.0000,0.0000
2021,1,1,3,30,10.700000000000001,0,0,0,0,3.5,0,0,0,0,60.93,121.4,0.14,990,0.9,6,2.9000000000000004,0.0000,0.0000
2021,1,1,4,30,10.200000000000001,0,0,0,3,3.3000000000000003,0,0,0,0,62.47,133.78,0.14,990,0.9,13,3.6,0.0000,0.0000
2021,1,1,5,30,9.700000000000001,0,0,0,7,3.1,0,0,0,0,63.58,146.16,0.14,990,0.9,19,3.9000000000000004,0.0000,0.0000
2021,1,1,6,30,9.4,0,0,0,7,2.5,0,0,0,0,62.29,158.06,0.14,990,0.9,23,4,0.0000,0.0000
2021,1,1,7,30,9.200000000000001,0,0,0,0,1.6,0,0,0,0,58.81,167.49,0.14,990,0.8,26,3.9000000000000004,0.0000,0.0000
2021,1,1,8,30,9,0,0,0,0,0.4,0,0,0,0,54.93,166.74,0.14,990,0.8,26,3.7,0.0000,0.0000
2021,1,1,9,30,8.8,0,0,0,0,-0.4,0,0,0,0,52.34,156.79,0.14,990,0.8,23,3.5,0.0000,0.0000
2021,1,1,10,30,8.700000000000001,0,0,0,0,-0.8,0,0,0,0,51.22,144.79,0.14,991,0.8,22,3.4000000000000004,0.0000,0.0000
2021,1,1,11,30,8.6,0,0,0,0,-1,0,0,0,0,50.85,132.39000000000001,0.14,991,0.8,24,3.4000000000000004,0.0000,0.0000
2021,1,1,12,30,8.5,0,0,0,0,-1.2000000000000002,0,0,0,0,50.6,120.02,0.14,991,0.7000000000000001,28,3.5,0.0000,0.0000
2021,1,1,13,30,8.4,0,0,0,0,-1.3,0,0,0,0,50.43,107.9,0.14,992,0.7000000000000001,32,3.5,0.0000,0.0000
2021,1,1,14,30,8.8,0,0,0,0,-1.4000000000000001,0,0,0,0,48.7,96.21000000000001,0.14,992,0.7000000000000001,36,3.6,0.0000,0.0000
2021,1,1,15,30,10.600000000000001,27,461,67,0,-1.2000000000000002,27,461,0,67,43.9,85.05,0.14,993,0.6000000000000001,37,4.1000000000000005,0.0000,0.0000
2021,1,1,16,30,13.4,48,768,244,0,-0.9,48,768,0,244,37.19,75.19,0.14,994,0.6000000000000001,40,4.7,11.9120,9.1512
2021,1,1,17,30,15.9,59,888,409,0,-1,59,888,0,409,31.54,66.79,0.14,994,0.6000000000000001,46,4.800000000000001,21.5170,16.7215
2021,1,1,18,30,17.6,68,937,528,0,-0.8,68,937,0,528,28.71,60.58,0.14,994,0.6000000000000001,49,4,29.0090,22.6495
2021,1,1,19,30,18.7,71,953,586,0,-1.4000000000000001,71,953,0,586,25.6,57.300000000000004,0.14,993,0.6000000000000001,48,3,32.7907,25.6458
2021,1,1,20,30,19.400000000000002,73,949,583,0,-3.3000000000000003,73,949,0,583,21.3,57.480000000000004,0.14,993,0.6000000000000001,41,2,32.5924,25.4886
2021,1,1,21,30,19.400000000000002,70,920,515,0,-3.4000000000000004,70,917,11,513,21.09,61.08,0.14,993,0.6000000000000001,32,1.4000000000000001,28.0990,21.9325
2021,1,1,22,30,18.6,64,842,386,0,-2.4000000000000004,63,840,14,384,23.990000000000002,67.55,0.14,993,0.7000000000000001,187,1,20.0776,15.5912
2021,1,1,23,30,18,52,697,219,0,0.30000000000000004,52,697,0,219,30.22,76.13,0.14,994,0.7000000000000001,344,0.7000000000000001,10.6089,8.1361
2021,1,2,0,30,13.5,27,314,48,0,2.9000000000000004,26,287,11,46,48.81,86.09,0.14,995,0.8,324,1.1,0.0000,0.0000
2021,1,2,1,30,12.100000000000001,0,0,0,3,2.7,0,0,0,0,52.51,97.36,0.14,995,0.8,340,1.3,0.0000,0.0000
2021,1,2,2,30,11.3,0,0,0,7,2.7,0,0,0,0,55.44,109.11,0.14,996,0.9,182,1.4000000000000001,0.0000,0.0000
2021,1,2,3,30,11.100000000000001,0,0,0,7,2.4000000000000004,0,0,0,0,55.14,121.27,0.14,996,1,28,1.4000000000000001,0.0000,0.0000
2021,1,2,4,30,11.100000000000001,0,0,0,0,2.2,0,0,0,0,54.11,133.65,0.14,996,1.1,53,1.4000000000000001,0.0000,0.0000
2021,1,2,5,30,11,0,0,0,7,2.1,0,0,0,0,54.22,146.02,0.14,996,1.1,68,1.3,0.0000,0.0000
2021,1,2,6,30,10.8,0,0,0,0,2.1,0,0,0,0,55.1,157.92000000000002,0.14,996,1.1,68,1.1,0.0000,0.0000
2021,1,2,7,30,10.700000000000001,0,0,0,7,2.4000000000000004,0,0,0,0,56.53,167.36,0.14,997,1,59,1,0.0000,0.0000
2021,1,2,8,30,10.4,0,0,0,0,2.5,0,0,0,0,57.99,166.72,0.14,997,1,68,1.3,0.0000,0.0000
2021,1,2,9,30,10.200000000000001,0,0,0,0,2.2,0,0,0,0,57.59,156.82,0.14,996,0.9,93,1.6,0.0000,0.0000
2021,1,2,10,30,10.100000000000001,0,0,0,7,3,0,0,0,0,61.49,144.84,0.14,996,0.9,109,1.5,0.0000,0.0000
2021,1,2,11,30,10,0,0,0,7,4,0,0,0,0,66.09,132.45,0.14,997,0.9,116,1.4000000000000001,0.0000,0.0000
2021,1,2,12,30,9.8,0,0,0,7,4.800000000000001,0,0,0,0,71.16,120.08,0.14,997,0.9,120,1.4000000000000001,0.0000,0.0000
2021,1,2,13,30,9.700000000000001,0,0,0,7,5.7,0,0,0,0,76.24,107.94,0.14,997,1,126,1.3,0.0000,0.0000
2021,1,2,14,30,9.9,0,0,0,7,6.5,0,0,0,0,79.54,96.24000000000001,0.14,998,1,125,1.2000000000000002,0.0000,0.0000
