,length,diameter,propeller_diameter,LD_effective,S_wetted,volume,mass_total,mass_payload,mass_structural,mass_propulsion,power,solar_area_fraction,mass_battery,BATTERY_SPECIFIC_ENERGY,S_solar,score
255,43.22931183106402,7.592874784094244,8.31507161913314,60.00626429713075,815.7283072089972,1304.9366240751049,1383.1550184053701,30.0,121.74100989062275,1227.1618457356478,3216.8049615270993,0.7737487034144562,1143.7528752096352,225.0,199.46852469461538,-0.0
256,45.045534182128215,7.887043944885603,8.74960694540088,62.74240130664169,882.8483528872301,1467.1647530460332,1555.1071627268498,30.0,131.75814681300156,1388.9484244676453,3438.3586434409244,0.7640907402574659,1298.935487522127,225.0,213.20668619354302,-0.0
281,45.38202297042679,7.498249808381615,8.57910405587098,49.818991165562664,844.1989126410323,1335.9871586911772,1416.0667338295405,30.0,125.99002298341635,1255.1328846764918,4310.066751653714,1.0000000095943278,1149.3511337743237,225.0,267.25980175047584,-0.0
282,46.62946012724133,7.99323922957111,9.050640518803121,52.81453145354603,925.6207910309466,1559.9282814196015,1653.4309720431797,30.0,138.141595528808,1480.108162395417,4720.885187596323,1.0000000099431363,1363.8112764167154,225.0,292.73394404846584,-0.0
257,46.85550886743187,8.18060078065308,9.18614620196705,65.48559200103062,952.4212752422401,1641.8356433181236,1740.2478921635375,30.0,142.14135621457345,1563.5577483555096,3666.6956257067263,0.7552465787097382,1466.6782502826907,225.0,227.3654684419259,-0.0
234,46.99004006383251,8.213837929978,9.203972185993587,81.871929567788,959.070470981473,1659.9564583863094,1759.4548757338998,30.0,143.1336961850034,1582.4307300364699,2706.9113994913005,0.5537093544054984,1503.8396663840558,225.0,167.85090479319626,-0.0
235,48.274931548610226,8.421931783653436,9.51755756437873,84.30611219160227,1010.1984079291284,1792.849059487315,1900.3131095609522,30.0,150.76413713283347,1715.571234346185,2826.0537072850298,0.5487907584389785,1632.831030875795,225.0,175.23871370562873,-0.0
283,48.49723738024551,8.440438529244327,9.585294637018661,55.84970144347479,1017.0081332002006,1809.0294828044618,1917.4633935652896,30.0,151.78043486855205,1730.2636816266772,5151.056096553449,0.9935140942541298,1602.5507855944063,225.0,319.4080998031516,-0.0
258,48.65938076474128,8.473505272384488,9.624593534984253,68.23517375333373,1024.4233065196556,1829.3272686381727,1938.9778363536066,30.0,152.8870909456387,1751.394033848298,3901.7045845957523,0.7471098570407178,1647.386380162651,225.0,241.93796844744625,-0.0
236,49.55638244885362,8.629651488090278,9.831999155471,86.74346362605502,1062.5332678203044,1932.345286219374,2048.1707928695187,30.0,158.574701801645,1855.5311602110205,2947.547679178493,0.5441614230554581,1768.5286075070958,225.0,182.77234525081684,-0.0
